Bulan;Vendor;Type;Total Biaya;Keterangan;Nopol;Tahun;Vendor_TextMining;Vendor_Clean
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;2865650;TUNE UP;L 9363 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);COMMUTER ACE MANUAL VIN 2019;233100;TUNE UP;L 7642 AP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PANTHER PICK UP LC TBR54;7064610;RUSAK RINGAN;L 9356 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR 54;3080900;TUNE UP;L 8942 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PHR 54 C BB;2762000;TUNE UP;L 9391 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA G XW42;2405900;TUNE UP;L 1462 CP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);TBR54 TURBO;2359939;TUNE UP;L 9255 NP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);TBR54 TURBO PICK UP;2895493;TUNE UP;L 8868 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);TBR54 TURBO PICK UP;3005146;TUNE UP;L 8604 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO)
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA 2.0 G AT;3045000;TUNE UP;L 0018 BP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
