Bulan;Vendor;Type;Total Biaya;Keterangan;Nopol;Tahun;Vendor_TextMining;Vendor_Clean
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR54 TURBO PICK UP;7287000;TUNE UP;L 9049 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;NKR71 TRUCK;5450000;TUNE UP;L 8767 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;OTHER D;4801000;RUSAK SEDANG;L 1768 EP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR 54 PICKUP TURBO;2981000;TUNE UP;L 9340 AP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PANTHER PICK UP LC TBR54;2709000;TUNE UP;L 9370 AP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;NKR71 TRUCK;2853000;TUNE UP;L 9139 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR54 TURBO PICK UP FLAT DECK;2825000;TUNE UP;L 9710 NP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;NKR71 TRUCK;2871000;TUNE UP;L 8870 CP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;NSERIES77;2860000;TUNE UP;L 9374 NP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;NSERIES77;2272000;TUNE UP;L 9645 AP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Juli;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;NKR71 TRUCK;625013;TUNE UP;L 8513 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
September;PT. ASTRA INTERNATIONAL TOYOTA CABANG BASUKI RACHMAT;IMV;2676808;RUSAK RINGAN;L 1098 BS;2023;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
September;CV. ASRI;KIJANG;13320594;RUSAK BERAT;L 1733 FP;2023;CV. ASRI;CV. ASRI (TOYOTA)
September;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;H ACCORD;18076128;RUSAK BERAT;L 1599 FP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
September;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54;15269426;RUSAK BERAT;L 8943 CP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
September;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54 TURBO PICK UP;3253161;RUSAK BERAT;L 9282 NP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
September;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR541 LV25;3814599;RUSAK BERAT;L 1636 DP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
September;CV. DAMAR KARYA;KIJANG INNOVA 2.0 G AT;3141300;RUSAK RINGAN;L 1907 FP;2023;CV. DAMAR KARYA;CV. DAMAR KARYA
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;NKR71 TRUCK;3316000;RUSAK SEDANG;L 9138 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;NKR71 TRUCK;3687000;RUSAK SEDANG;L 9218 NP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;TBR54;3658000;RUSAK SEDANG;L 9361 NP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;TBR54;3690000;RUSAK SEDANG;L 9897 NP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;TBR54 TURBO PICK UP;3722000;RUSAK SEDANG;L 8868 CP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;PANTHER LM FF VIN;6007000;RUSAK SEDANG;L 1357 CP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;TBR54;6342000;RUSAK SEDANG;L 9012 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
September;CV. ASRI;KIJANG;6647514;RUSAK SEDANG;L 1733 FP;2023;CV. ASRI;CV. ASRI (TOYOTA)
September;CV. ASRI;KIJANG INNOVA 2.0 G AT;4735657;RUSAK SEDANG;L 1762 PP;2023;CV. ASRI;CV. ASRI (TOYOTA)
September;PT. ASTRA INTERNATIONAL ISUZU CABANG WARU;TBR541;3501988;RUSAK SEDANG;L 1383 CP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU WARU);PT. ASTRA INTERNATIONAL TBK (ISUZU WARU)
September;PT. ASTRA INTERNATIONAL TOYOTA CABANG BASUKI RACHMAT;CAMRY;970334;RUSAK SEDANG;L 1026 ZZH;2023;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
September;PT. ASTRA INTERNATIONAL TOYOTA CABANG BASUKI RACHMAT;IMV4;970334;TUNE UP;L 1012 ZZH;2023;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Oktober;PT. SRIKANDI DIAMOND INDAH MOTORS;V5MT1;13628552;RUSAK BERAT;L 9332 NP;2023;PT SRIKANDI DIAMOND INDAH MOTORS;PT SRIKANDI DIAMOND INDAH MOTORS
Oktober;PT. ASTRA INTERNATIONAL TOYOTA CABANG BASUKI RACHMAT;CAMRY;1056914;RUSAK RINGAN;L 1025 ZZH;2023;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Oktober;PT. ASTRA INTERNATIONAL TOYOTA CABANG BASUKI RACHMAT;FORTUNER;1056914;RUSAK RINGAN;L 1011 ZZH;2023;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;H ACCORD;17220651;RUSAK BERAT;L 1599 FP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. SRIKANDI DIAMOND INDAH MOTORS;V5MT1;1693582;RUSAK RINGAN;L 9323 NP;2023;PT SRIKANDI DIAMOND INDAH MOTORS;PT SRIKANDI DIAMOND INDAH MOTORS
Nopember;CV. ASRI;HIACE;2319030;RUSAK RINGAN;L 7588 NP;2023;CV. ASRI;CV. ASRI (TOYOTA)
Nopember;UD. JAYA AC;STRADA TRITON PICK UP;5515000;RUSAK SEDANG;L 8854 CP;2023;UD. JAYA AC;UD. JAYA AC
Nopember;UD. JAYA AC;CAMRY;1650000;RUSAK RINGAN;X11151-29;2023;UD. JAYA AC;UD. JAYA AC
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;H ACCORD;10722600;RUSAK BERAT;L 1599 FP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54 TURBO LM;6047012;RUSAK SEDANG;L 1990 EP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;KIJANG INNOVA G XW42;2575158;RUSAK RINGAN;L 1852 PP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Nopember;PT. UNITED MOTORS CENTRE;GC415V APV STD;5508386;TUNE UP;L 1589 DP;2023;PT UNITED MOTORS CENTER (SUZUKI);PT UNITED MOTORS CENTER (SUZUKI)
Nopember;PT. UNITED MOTORS CENTRE;AMBULANCE;8089678;RUSAK SEDANG;L 1129 EP;2023;PT UNITED MOTORS CENTER (SUZUKI);PT UNITED MOTORS CENTER (SUZUKI)
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG WARU;TBR54 TURBO LM;2391175;RUSAK RINGAN;L 1906 BP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU WARU);PT. ASTRA INTERNATIONAL TBK (ISUZU WARU)
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG WARU;NSERIES77;2085043;RUSAK RINGAN;L 9066 AP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU WARU);PT. ASTRA INTERNATIONAL TBK (ISUZU WARU)
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG WARU;NSERIES77;1675712;RUSAK RINGAN;L 9127 AP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU WARU);PT. ASTRA INTERNATIONAL TBK (ISUZU WARU)
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PANTHER LM FF VIN;1936950;RUSAK RINGAN;L 1703 FP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;GC415V BLIND VAN PS;2707674;RUSAK RINGAN;L 1591 DP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR54 PICK UP TURBO;2723976;RUSAK RINGAN;L 8913 CP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;KIJANG INNOVA 2.0 G AT;2886464;RUSAK RINGAN;L 1857 FP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;IMV;2886464;RUSAK RINGAN;L 22 AP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR541;2832925;RUSAK RINGAN;L 1043 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR54 TURBO LM;3302649;RUSAK RINGAN;L 1835 FP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR54 TURBO LM;2478700;RUSAK RINGAN;L 1031 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;K2700 AMBULANCE;3301001;RUSAK RINGAN;L 9188 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;HI ACE;3287093;RUSAK RINGAN;L 7820 NP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR54 F TURBO LV;5656299;RUSAK SEDANG;L 1351 CP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR54;13047470;RUSAK BERAT;L 9751 AP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Nopember;CV. DAMAR KARYA;TBR54F TURBO LM AMBULANCE;12210000;RUSAK BERAT;L 9806 CP;2023;CV. DAMAR KARYA;CV. DAMAR KARYA
Desember;CV. ASRI;NEW KIJANG INNOVA 2.4 Q A/T DIESEL VENTURER VIN 2019;1504863;RUSAK RINGAN;L 1362 DP;2023;CV. ASRI;CV. ASRI (TOYOTA)
Desember;CV. ASRI;IMV;2007489;RUSAK RINGAN;L 1035 ZZH;2023;CV. ASRI;CV. ASRI (TOYOTA)
Desember;CV. ASRI;IMV;2260921;RUSAK SEDANG;L 1559 QP;2023;CV. ASRI;CV. ASRI (TOYOTA)
Desember;PT. ASTRA INTERNATIONAL ISUZU CABANG WARU;TBR54F TURBO LV PICK UP;3140000;RUSAK SEDANG;L 9044 BP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU WARU);PT. ASTRA INTERNATIONAL TBK (ISUZU WARU)
Desember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PANTHER LM FF VIN;2892749;RUSAK SEDANG;L 1907 BP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Desember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;TBR541;2957554;RUSAK SEDANG;L 1570 FP;2023;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Februari;UD. JAYA AC;PAJERO;3017500;RUSAK RINGAN;L 1021 ZZH;2024;UD. JAYA AC;UD. JAYA AC
Februari;UD. JAYA AC;TBR54F TURBO LM AMBULANCE;2495000;RUSAK RINGAN;L 9806 CP;2024;UD. JAYA AC;UD. JAYA AC
Februari;UD. JAYA AC;TBR54F TURBO LM AMBULANCE;3549500;RUSAK RINGAN;L 9808 CP;2024;UD. JAYA AC;UD. JAYA AC
Februari;UD. JAYA AC;OTHER D;8390000;RUSAK SEDANG;L 1768 EP;2024;UD. JAYA AC;UD. JAYA AC
Februari;UD. JAYA AC;;4490000;RUSAK SEDANG;;2024;UD. JAYA AC;UD. JAYA AC
Februari;PT. SRIKANDI DIAMOND INDAH MOTORS;PAJERO;11464657;RUSAK BERAT;L 1021 ZZH;2024;PT SRIKANDI DIAMOND INDAH MOTORS;PT SRIKANDI DIAMOND INDAH MOTORS
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;COMMUTER ACE MANUAL VIN 2019;3943997;RUSAK RINGAN;L 7642 AP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;2731389;RUSAK RINGAN;L 1866 FP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;IMV;4182765;RUSAK SEDANG;L 1977 EP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;3988212;RUSAK SEDANG;L 1761 PP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL - TBK  TOYOTA VABANG BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;4648326;RUSAK SEDANG;L 0020 AP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Maret;PT.  UNITED MOTORS CENTRE;AMBULANCE;2710950;RUSAK RINGAN;L 1129 EP;2024;PT UNITED MOTORS CENTER (SUZUKI);PT UNITED MOTORS CENTER (SUZUKI)
Maret;PT.  UNITED MOTORS CENTRE;GC415V APV;5461359;RUSAK SEDANG;L 1905 BP;2024;PT UNITED MOTORS CENTER (SUZUKI);PT UNITED MOTORS CENTER (SUZUKI)
Maret;PT.  UNITED MOTORS CENTRE;SL415;10092605;RUSAK BERAT;L 9124 BP;2024;PT UNITED MOTORS CENTER (SUZUKI);PT UNITED MOTORS CENTER (SUZUKI)
Maret;CV. ASRI;CAMRY 2.4 GAT;3193917;RUSAK RINGAN;X 11151 29;2024;CV. ASRI;CV. ASRI (TOYOTA)
Maret;CV. ASRI;IMV;3216813;RUSAK RINGAN;L 36 AP;2024;CV. ASRI;CV. ASRI (TOYOTA)
Maret;CV. ASRI;KIJANG INNOVA 2.0 G AT;450000;RUSAK RINGAN;L 1772 PP;2024;CV. ASRI;CV. ASRI (TOYOTA)
Maret;CV. ASRI;KIJANG INNOVA G XW42;3075847;RUSAK RINGAN;L 1659 FP;2024;CV. ASRI;CV. ASRI (TOYOTA)
Maret;CV. ASRI;IMV;4345207;RUSAK SEDANG;L 1047 ZZH;2024;CV. ASRI;CV. ASRI (TOYOTA)
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;IMV;3111638;RUSAK RINGAN;L 19 AP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;KIJANG INNOVA G XW42;5069726;RUSAK SEDANG;L 1718 FP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;IMV;4261493;RUSAK SEDANG;L 18 BP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;6029028;RUSAK SEDANG;L 1763 PP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;HI ACE;4799906;RUSAK SEDANG;L 7820 NP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;5428681;RUSAK SEDANG;L 1857 FP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;IMV;4298028;RUSAK SEDANG;L 1037 ZZH;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;KIJANG INNOVA G XW42;8740536;RUSAK BERAT;L 1659 FP;2024;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;TBR54 TURBO LM;2660227;RUSAK RINGAN;L 1604 FP;2024;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;TBR54 TURBO PICK UP;3590250;RUSAK RINGAN;L 8820 CP;2024;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;OTHER D;7205497;RUSAK SEDANG;L 1768 EP;2024;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;OTHER I;13600002;RUSAK BERAT;L 9334 AP;2024;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;NKR71 HD E2 - 2 DUMP TRUCK;9245720;RUSAK BERAT;L 8876 CP;2024;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;TBR54F TURBO;13399924;RUSAK BERAT;L 1921 BP;2024;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;TBR54 TURBO PICK UP;1935134;RUSAK RINGAN;L 9049 BP;2024;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;TBR54 TURBO LM;6144839;RUSAK SEDANG;L 1078 BP;2024;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;PANTHER PICK UP LC TBR54;7919981;RUSAK SEDANG;L 9350 AP;2024;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;PANTHER PICK UP LC TBR54;6646327;RUSAK SEDANG;L 9364 AP;2024;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;TBR54F TURBO LM;7167523;RUSAK SEDANG;L 1920 BP;2024;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;PANTHER PICK UP LC TBR54;7381226;RUSAK SEDANG;L 9359 AP;2024;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
